filename,waveform,n_samples,dominant_freq_hz,dominant_amp_nm,harmonic_ratio_2,harmonic_ratio_3,harmonic_ratio_4,harmonic_ratio_5,odd_even_harmonic_ratio,thd_pct,spectral_entropy,spectral_centroid_hz,spectral_flatness,band_energy_ratio,num_spectral_peaks,rms_nm,peak_nm,crest_factor,skewness,kurtosis,zero_cross_rate,peak_density_hz,sine_residual_pct,sine_phase_lag_deg,q1_peak_nm,q1_mean_nm,q1_rms_nm,q1_sine_residual_pct,q2_peak_nm,q2_mean_nm,q2_rms_nm,q2_sine_residual_pct,q3_peak_nm,q3_mean_nm,q3_rms_nm,q3_sine_residual_pct,q4_peak_nm,q4_mean_nm,q4_rms_nm,q4_sine_residual_pct,amplitude_drift_nm,worst_quarter,fopdt_phase_lag_deg,fopdt_attenuation,v_drive_est_v,hysteresis_nm,half_cycle_asymmetry,square_duty_cycle,square_edge_sharpness,noise_kurtosis,noise_gaussianity_err,noise_autocorr_lag1,ramp_rise_linearity,ramp_fall_linearity,ramp_asymmetry,pulse_crest_factor,pulse_duty_cycle,pulse_ringing_ratio
sine-1-1_absolute.csv,sine,9322,20.0601,8.325427,0.162405,0.099201,0.095037,0.056444,0.36791,22.0078,8.4321,47.4183,0.619214,311.6526,181,206.235695,335.670118,1.6276,-0.0948,1.5092,1.9309,1.8236,99.9766,172.1991,49.0,47.78,48.76,484.94,30.13,-30.13,30.13,,30.13,-30.13,30.13,,49.0,12.48,41.37,88.4,18.87,q1,1.841,0.999504,0.8838,,,,,,,,,,,,,
sine-100Hz-10_absolute.csv,sine,9803,99.9694,269.087166,0.010158,0.030951,0.012325,0.041,10.345348,5.3797,1.3173,100.986,0.342166,1.8178,1,200.763091,279.795115,1.3937,-0.0163,1.5649,200.0408,99.9694,51.2026,-8.9591,284.85,2.43,195.3,8.4,284.85,-2.43,193.61,8.6,284.85,2.43,195.3,8.4,284.85,-2.43,193.61,8.6,0.0,q1,9.104,0.987894,0.7453,15.83,0.0556,,,,,,,,,,,
sine-100Hz-1_absolute.csv,sine,32685,100.0153,244.149615,0.032351,0.013816,0.012333,0.0,0.159241,3.7277,1.4257,101.4727,0.516318,0.8923,1,200.015592,329.788517,1.6488,-0.064,1.6029,200.0,100.0153,74.8058,-126.1914,302.5,-3.04,200.91,12.7,302.5,-9.13,197.34,12.74,330.49,7.91,201.43,13.66,330.49,4.26,201.42,13.7,28.0,q3,9.108,0.987883,0.8785,29.82,0.0902,,,,,,,,,,,
sine-100Hz-2_absolute.csv,sine,10389,100.0096,280.422007,0.010519,0.018733,0.02927,0.0,0.362762,3.6308,1.5072,102.6585,0.555976,0.263,1,206.73394,495.786577,2.3982,-0.0346,1.6957,200.0193,99.9134,28.9566,76.1042,318.63,76.38,215.54,36.94,318.63,21.61,202.3,19.6,318.63,-13.69,209.19,17.64,393.49,-84.3,222.33,39.64,74.86,q4,9.108,0.987884,1.3207,18.62,0.0473,,,,,,,,,,,
sine-100Hz-3_absolute.csv,sine,9419,100.0106,284.809978,0.012325,0.016796,0.005504,0.0,1.548325,2.1548,1.3854,101.402,0.46494,0.2777,1,205.914744,373.904795,1.8158,-0.0056,1.5723,199.9151,100.0106,22.7913,45.5654,332.32,25.56,220.72,12.35,332.32,-3.65,210.99,13.75,300.67,-1.22,197.51,12.7,300.67,-20.69,197.9,12.72,31.65,q1,9.108,0.987884,0.996,22.15,0.0667,,,,,,,,,,,
sine-100Hz-4_absolute.csv,sine,9225,100.0542,250.65688,0.083332,0.029979,0.02182,0.0,0.121116,9.1209,1.3667,101.6072,0.418115,0.9373,2,209.902052,290.84959,1.3856,-0.1357,1.4718,200.0,99.9458,75.662,-125.3424,279.67,14.91,212.16,11.23,279.67,-9.43,216.07,9.59,279.67,5.17,215.88,9.3,279.67,-10.65,216.08,9.26,0.0,q1,9.112,0.987874,0.7748,5.48,0.0196,,,,,,,,,,,
sine-100Hz-5_absolute.csv,sine,8629,100.0116,286.257834,1e-06,0.037998,1e-06,0.0,398671768.20461,3.7998,1.284,100.9208,0.000689,0.2824,1,204.08839,277.039249,1.3574,0.0006,1.5562,200.0232,99.8957,18.8053,98.2307,276.93,-1.83,204.04,5.57,276.93,1.83,204.04,5.57,276.93,-1.83,204.04,5.57,276.93,1.83,204.04,5.57,0.0,q1,9.108,0.987884,0.738,0.0,0.0,,,,,,,,,,,
sine-100Hz-6_absolute.csv,sine,9773,99.9693,266.233785,0.016934,0.016197,0.065102,0.020994,0.155382,7.2305,1.4092,102.746,0.38248,1.7195,2,202.832112,334.242079,1.6479,0.0076,1.5298,199.9386,99.9693,53.9831,67.5091,278.15,15.22,204.13,5.63,278.15,-12.78,203.96,5.64,278.15,14.0,202.7,6.55,278.15,-16.43,199.64,7.97,0.0,q1,9.104,0.987894,0.8904,2.44,0.0088,,,,,,,,,,,
sine-100Hz-7_absolute.csv,sine,9530,100.0,287.777509,0.034962,0.01374,0.05436,0.0,0.045193,6.6077,1.3718,102.2005,0.44819,0.1887,2,205.78181,325.063606,1.5797,0.0455,1.5432,200.0,100.0,9.8555,163.0002,311.63,-8.52,201.04,9.07,311.63,14.61,202.15,8.77,321.36,-15.82,211.03,6.82,321.36,9.74,208.83,7.36,9.74,q3,9.107,0.987887,0.8659,38.95,0.1212,,,,,,,,,,,
sine-100Hz-8_absolute.csv,sine,10847,100.0277,257.069694,0.019285,0.04293,0.013451,0.0,3.333661,4.8947,1.4293,102.2473,0.499233,0.528,1,194.430168,317.239246,1.6316,-0.0008,1.6204,200.0553,100.0277,51.6324,-90.9165,294.28,-0.3,198.48,12.98,294.28,-2.74,206.83,11.27,294.28,5.78,202.37,12.37,294.28,-2.74,206.83,11.27,0.0,q1,9.11,0.98788,0.8451,34.69,0.1179,,,,,,,,,,,
