split,class,filename,source_stem,win_start,augmentation
train,noise,synth_noise_0212_w3500_absolute_orig.png,synth_noise_0212,3500,original
train,noise,synth_noise_0212_w3500_absolute_aug_v1.png,synth_noise_0212,3500,aug_v1
train,noise,synth_noise_0212_w3500_absolute_aug_v2.png,synth_noise_0212,3500,aug_v2
train,noise,synth_noise_0212_w3500_absolute_aug_v3.png,synth_noise_0212,3500,aug_v3
train,noise,synth_noise_0212_w3500_absolute_aug_v4.png,synth_noise_0212,3500,aug_v4
train,noise,synth_noise_0165_w480_absolute_orig.png,synth_noise_0165,480,original
train,noise,synth_noise_0165_w480_absolute_aug_v1.png,synth_noise_0165,480,aug_v1
train,noise,synth_noise_0165_w480_absolute_aug_v2.png,synth_noise_0165,480,aug_v2
train,noise,synth_noise_0165_w480_absolute_aug_v3.png,synth_noise_0165,480,aug_v3
train,noise,synth_noise_0165_w480_absolute_aug_v4.png,synth_noise_0165,480,aug_v4
train,noise,synth_noise_0142_w480_absolute_orig.png,synth_noise_0142,480,original
train,noise,synth_noise_0142_w480_absolute_aug_v1.png,synth_noise_0142,480,aug_v1
train,noise,synth_noise_0142_w480_absolute_aug_v2.png,synth_noise_0142,480,aug_v2
train,noise,synth_noise_0142_w480_absolute_aug_v3.png,synth_noise_0142,480,aug_v3
train,noise,synth_noise_0142_w480_absolute_aug_v4.png,synth_noise_0142,480,aug_v4
train,noise,synth_noise_0239_w480_absolute_orig.png,synth_noise_0239,480,original
train,noise,synth_noise_0239_w480_absolute_aug_v1.png,synth_noise_0239,480,aug_v1
train,noise,synth_noise_0239_w480_absolute_aug_v2.png,synth_noise_0239,480,aug_v2
train,noise,synth_noise_0239_w480_absolute_aug_v3.png,synth_noise_0239,480,aug_v3
train,noise,synth_noise_0239_w480_absolute_aug_v4.png,synth_noise_0239,480,aug_v4
train,noise,synth_noise_0053_w3500_absolute_orig.png,synth_noise_0053,3500,original
